pp,video,dial,t_begin_s,t_mid_s,t_end_s,duration_s
1,7,1,84.9733,85.1127,85.2521,0.2788
1,7,1,85.3049,85.4551,85.6053,0.3004
1,7,2,85.6622,85.8038,85.9454,0.2831
1,7,3,85.9954,86.1468,86.2983,0.3029
1,7,3,86.3505,86.4915,86.6326,0.2821
1,7,6,86.6905,86.8303,86.97,0.2795
1,7,5,87.0277,87.1684,87.309,0.2813
1,7,2,87.3721,87.5172,87.6623,0.2902
1,7,5,87.7187,87.8605,88.0024,0.2837
1,7,2,88.0589,88.2012,88.3434,0.2844
1,7,2,88.3962,88.5502,88.7043,0.3081
1,7,6,88.7579,88.9092,89.0606,0.3027
1,7,3,89.1173,89.2555,89.3936,0.2763
1,7,3,89.4457,89.5947,89.7436,0.2979
1,7,6,89.8015,89.945,90.0885,0.287
2,7,3,2.052,2.1975,2.3429,0.2909
2,7,3,2.3905,2.5353,2.6802,0.2896
2,7,1,2.7371,2.882,3.0269,0.2898
2,7,4,3.0713,3.227,3.3827,0.3114
2,7,4,3.442,3.5883,3.7345,0.2925
2,7,2,3.7951,3.9421,4.0891,0.294
2,7,6,4.1447,4.2894,4.4341,0.2893
2,7,3,4.4915,4.6305,4.7695,0.278
2,7,3,4.8152,4.9715,5.1279,0.3126
2,7,6,5.1858,5.3306,5.4754,0.2896
2,7,5,5.533,5.6751,5.8173,0.2844
2,7,3,5.8792,6.0244,6.1695,0.2902
2,7,4,6.2245,6.3636,6.5027,0.2782
2,7,3,6.5493,6.7023,6.8553,0.306
2,7,1,6.9132,7.0531,7.193,0.2798
2,7,3,7.2469,7.3853,7.5237,0.2768
2,7,6,7.5794,7.7072,7.835,0.2556
2,7,2,7.8894,8.0342,8.179,0.2896
2,7,1,8.2314,8.386,8.5406,0.3091
2,7,6,8.5978,8.7354,8.8731,0.2754
2,7,3,8.9309,9.0683,9.2057,0.2748
2,7,1,9.2603,9.4096,9.5589,0.2987
2,7,6,9.6139,9.7525,9.8912,0.2773
2,7,6,9.9418,10.0873,10.2329,0.2911
2,7,6,10.2893,10.4264,10.5635,0.2743
